judge_name,assigned_country,role,segment_category,pdf_name,program,competition,officials_table_link,results_pdf_link,clean_judge_name
Mr. Kersten BELLMANN,GER,Judge No.5,Free Skating|Pairs,c40d14f7bb_data0305.pdf,PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0350.htm,http://www.isuresults.com/results/season1718/gpf1718/data0305.pdf,Kersten  BELLMANN
Ms. Tamie K. CAMPBELL,USA,Judge No.6,Free Skating|Pairs,c40d14f7bb_data0305.pdf,PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0350.htm,http://www.isuresults.com/results/season1718/gpf1718/data0305.pdf,Tamie K. CAMPBELL
Mr. Paolo PIZZOCARI,ITA,Judge No.7,Free Skating|Pairs,c40d14f7bb_data0305.pdf,PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0350.htm,http://www.isuresults.com/results/season1718/gpf1718/data0305.pdf,Paolo PIZZOCARI
Ms. Elizabeth ALEXANDRE,AUS,Judge No.8,Free Skating|Pairs,c40d14f7bb_data0305.pdf,PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0350.htm,http://www.isuresults.com/results/season1718/gpf1718/data0305.pdf,Elizabeth  ALEXANDRE
Mr. Feng HUANG,CHN,Judge No.9,Free Skating|Pairs,c40d14f7bb_data0305.pdf,PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0350.htm,http://www.isuresults.com/results/season1718/gpf1718/data0305.pdf,Feng HUANG
Ms. Chihee RHEE,KOR,Judge No.1,Short Dance|Ice Dance,09438dd8ab_data0403.pdf,ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0430.htm,http://www.isuresults.com/results/season1718/gpf1718/data0403.pdf,Chihee RHEE
Mr. David MUNOZ,ESP,Judge No.2,Short Dance|Ice Dance,09438dd8ab_data0403.pdf,ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0430.htm,http://www.isuresults.com/results/season1718/gpf1718/data0403.pdf,David MUNOZ
Mr. Feng HUANG,CHN,Judge No.3,Short Dance|Ice Dance,09438dd8ab_data0403.pdf,ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0430.htm,http://www.isuresults.com/results/season1718/gpf1718/data0403.pdf,Feng HUANG
Mr. Richard DALLEY,USA,Judge No.4,Short Dance|Ice Dance,09438dd8ab_data0403.pdf,ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0430.htm,http://www.isuresults.com/results/season1718/gpf1718/data0403.pdf,Richard DALLEY
Mr. Walter ZUCCARO,ITA,Judge No.5,Short Dance|Ice Dance,09438dd8ab_data0403.pdf,ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0430.htm,http://www.isuresults.com/results/season1718/gpf1718/data0403.pdf,Walter ZUCCARO
Ms. Leanna CARON,CAN,Judge No.6,Short Dance|Ice Dance,09438dd8ab_data0403.pdf,ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0430.htm,http://www.isuresults.com/results/season1718/gpf1718/data0403.pdf,Leanna CARON
Ms. Kaoru TAKINO,JPN,Judge No.7,Short Dance|Ice Dance,09438dd8ab_data0403.pdf,ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0430.htm,http://www.isuresults.com/results/season1718/gpf1718/data0403.pdf,Kaoru TAKINO
Ms. Christine HURTH,FRA,Judge No.8,Short Dance|Ice Dance,09438dd8ab_data0403.pdf,ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0430.htm,http://www.isuresults.com/results/season1718/gpf1718/data0403.pdf,Christine HURTH
Ms. Elena FOMINA,RUS,Judge No.9,Short Dance|Ice Dance,09438dd8ab_data0403.pdf,ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0430.htm,http://www.isuresults.com/results/season1718/gpf1718/data0403.pdf,Elena FOMINA
Mr. Walter ZUCCARO,ITA,Judge No.1,Short Dance|Junior Ice Dance,2bd5da68e1_data0803.pdf,JUNIOR ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0830.htm,http://www.isuresults.com/results/season1718/gpf1718/data0803.pdf,Walter ZUCCARO
Mr. Feng HUANG,CHN,Judge No.2,Short Dance|Junior Ice Dance,2bd5da68e1_data0803.pdf,JUNIOR ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0830.htm,http://www.isuresults.com/results/season1718/gpf1718/data0803.pdf,Feng HUANG
Ms. Leanna CARON,CAN,Judge No.3,Short Dance|Junior Ice Dance,2bd5da68e1_data0803.pdf,JUNIOR ICE DANCE SHORT DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0830.htm,http://www.isuresults.com/results/season1718/gpf1718/data0803.pdf,Leanna CARON
